Scenario,Category,Asset,Shock,P&L_EUR,Return
Soft Landing,Positive Scenario,QQQ,0.15,150000.0,0.0703
Soft Landing,Positive Scenario,EFA,0.1,100000.00000000001,0.0703
Soft Landing,Positive Scenario,EEM,0.12,60000.0,0.0703
Soft Landing,Positive Scenario,TLT,0.03,45000.0,0.0703
Soft Landing,Positive Scenario,IEF,0.02,20000.0,0.0703
Soft Landing,Positive Scenario,HYG,0.04,20000.0,0.0703
Soft Landing,Positive Scenario,EMB,0.03,15000.0,0.0703
Soft Landing,Positive Scenario,GLD,-0.02,-14000.000000000002,0.0703
Soft Landing,Positive Scenario,SLV,-0.01,-2999.9999999999995,0.0703
Soft Landing,Positive Scenario,USO,0.02,4000.0,0.0703
Soft Landing,Positive Scenario,DBC,0.02,5999.999999999999,0.0703
COVID Recovery 2020,Historical,SPY,0.573658421528034,1434146.053820085,0.3616580785335709
COVID Recovery 2020,Historical,QQQ,0.7329156697708104,732915.6697708104,0.3616580785335709
COVID Recovery 2020,Historical,EFA,0.4172563444289903,417256.3444289903,0.3616580785335709
COVID Recovery 2020,Historical,EEM,0.46352289514657796,231761.447573289,0.3616580785335709
COVID Recovery 2020,Historical,TLT,-0.016769054653477222,-25153.581980215833,0.3616580785335709
COVID Recovery 2020,Historical,IEF,0.012972548253046279,12972.54825304628,0.3616580785335709
COVID Recovery 2020,Historical,HYG,0.26616886080234714,133084.43040117357,0.3616580785335709
COVID Recovery 2020,Historical,EMB,0.26481985229891647,132409.92614945825,0.3616580785335709
COVID Recovery 2020,Historical,GLD,0.26336293899915875,184354.05729941113,0.3616580785335709
COVID Recovery 2020,Historical,SLV,1.1307878674347815,339236.3602304344,0.3616580785335709
COVID Recovery 2020,Historical,USO,-0.21670083999553624,-43340.16799910725,0.3616580785335709
COVID Recovery 2020,Historical,DBC,0.22312565796111072,66937.69738833321,0.3616580785335709
