Date,diversification_ratio
2021-02-23,1.7038124192808577
2021-02-24,1.7055957982916554
2021-02-25,1.698836669457769
2021-02-26,1.5734420415287085
2021-03-01,1.6211525492407528
2021-03-02,1.629181410747156
2021-03-03,1.6249556139446928
2021-03-04,1.6035728913350267
2021-03-05,1.5834060989744518
2021-03-08,1.5722509646505332
2021-03-09,1.556710848282277
2021-03-10,1.512161317508706
2021-03-11,1.5059043311007165
2021-03-12,1.5057737334742347
2021-03-15,1.5145981211862773
2021-03-16,1.5119338601748964
2021-03-17,1.5112189900596587
2021-03-18,1.5122386250787643
2021-03-19,1.4900159572866647
2021-03-22,1.4908347896253085
2021-03-23,1.4946303174122855
2021-03-24,1.5032589783147143
2021-03-25,1.5106545587741673
2021-03-26,1.5120152770165105
2021-03-29,1.5029204501100852
2021-03-30,1.5023107389309065
2021-03-31,1.5061933666739848
2021-04-01,1.5083265966331978
2021-04-05,1.4884218396389137
2021-04-06,1.493736309999823
2021-04-07,1.4847214102488069
2021-04-08,1.4845721093853803
2021-04-09,1.4723801808744839
2021-04-12,1.469907774475818
2021-04-13,1.4464682236320208
2021-04-14,1.4476487221076275
2021-04-15,1.4501084660969894
2021-04-16,1.4347679405551366
2021-04-19,1.4336056228839742
2021-04-20,1.4323644293115225
2021-04-21,1.44231763273421
2021-04-22,1.4487312519539681
2021-04-23,1.4497886698525086
2021-04-26,1.448435599806474
2021-04-27,1.4487351156735713
2021-04-28,1.44934025060636
2021-04-29,1.4579270391112367
2021-04-30,1.4546144732324848
2021-05-03,1.4621848859842361
2021-05-04,1.4868760715103313
2021-05-05,1.4661442176388848
2021-05-06,1.465998340400417
2021-05-07,1.4536230308225275
2021-05-10,1.4505126980541685
2021-05-11,1.4470870411969676
2021-05-12,1.4483923066869284
2021-05-13,1.4208302600878264
2021-05-14,1.4236176396378133
2021-05-17,1.4014094197227063
2021-05-18,1.3988099585385962
2021-05-19,1.3978176884142044
2021-05-20,1.399841317373403
2021-05-21,1.3944374617592294
2021-05-24,1.3809586000692526
2021-05-25,1.3751992260445343
2021-05-26,1.3748486629625902
2021-05-27,1.4206674801994492
2021-05-28,1.375733694394471
2021-06-01,1.357076568769886
2021-06-02,1.3587029295459165
2021-06-03,1.3667522718371625
2021-06-04,1.3662384353181236
2021-06-07,1.3569037364373089
2021-06-08,1.369000070616268
2021-06-09,1.395397940989593
2021-06-10,1.3981549380442946
2021-06-11,1.389220465351657
2021-06-14,1.3850683107291957
2021-06-15,1.390497616692621
2021-06-16,1.3888930236711754
2021-06-17,1.379882975656648
2021-06-18,1.456649827116337
2021-06-21,1.481600843177909
2021-06-22,1.4988452460429804
2021-06-23,1.496682647873773
2021-06-24,1.4799412774046485
2021-06-25,1.4694349652178413
2021-06-28,1.475387616574609
2021-06-29,1.4832408092622942
2021-06-30,1.4826531851154452
2021-07-01,1.4770500643417805
2021-07-02,1.5136154063402552
2021-07-06,1.4871596293761942
2021-07-07,1.4968706787870918
2021-07-08,1.4991805460801888
2021-07-09,1.5097552810649784
2021-07-12,1.5221763428212864
2021-07-13,1.523732417290487
2021-07-14,1.5314449343540324
2021-07-15,1.5284216410248594
2021-07-16,1.5718292832818463
2021-07-19,1.5536938467853019
2021-07-20,1.595798845040943
2021-07-21,1.6052656581462863
2021-07-22,1.6276835013092905
2021-07-23,1.6253228068238372
