Date,SPY,QQQ,EFA,EEM,TLT,IEF,HYG,EMB,GLD,SLV,USO,DBC
2025-01-10,-38463.074727042265,-15805.307652863596,-15336.18278989275,-8565.791271560514,-9971.753082963787,-7309.338290210414,-2603.678007871735,-2696.334313148852,6659.04286246484,2290.514572940618,8460.160336287337,7956.572816266297
2025-01-13,3873.3658262652625,-3218.936843742445,-2801.7887943466653,-3418.7484878391474,-526.4072967826345,-1753.5635050312185,-127.26607013890879,-732.7452290075445,-7000.770212572935,-7147.138788859202,3905.088610459518,2158.2631745326394
2025-01-14,3437.1928890439353,-949.8588157093197,3600.845123290293,5604.286248553992,-2460.155374856778,329.0605827039576,636.4282913613869,732.7452290075015,3664.9851055919053,2658.824779745844,-1366.70497129818,-134.4341951836899
2025-01-15,45066.305509083926,22745.43941131997,12698.61453026635,6499.872401892943,25632.704380052117,10471.423119613917,4369.612628549672,5712.396653689563,5222.763285285628,8267.364981069202,6433.897989520425,4802.259053468189
2025-01-16,-4812.3034130438045,-7030.539607246893,5113.133560242531,-598.3340578896608,4833.118498730625,2384.2124453503598,567.1603619729632,-612.7999214551884,4821.0362263360275,857.1630587170832,-3347.74412871533,-1326.2696670020684
2025-01-17,24974.97936258834,16737.6946689244,4045.604280419859,3935.6328068184894,2582.838852158403,757.5887986849805,440.56451022271114,946.8129022454306,-3724.9823328794737,-4636.214030672902,-1015.3673462477703,-1332.1590169559768
2025-01-21,22779.344793170345,5847.829504318649,19986.50344680336,5317.331168471724,13358.871522357145,3347.372894977382,1319.6811560056478,3383.238178242945,10756.582589889002,4636.214030672867,-3446.8763831138485,-1472.208099738039
2025-01-22,14014.316376501081,12704.640915971542,-2300.658079171882,352.44031250066837,-7863.940817008425,-2590.5316833465863,-690.6485981442502,-1383.8779970321816,3585.7571491479985,106.95298568624779,-1683.8041793916368,-268.47379938215084
2025-01-23,13607.952528743132,2123.9576149220693,8156.082098416692,1173.132139555778,-11700.867171564587,-2597.521771584242,627.9301365552698,-110.77756520181539,-991.1102780357835,-3009.6860899864905,-3056.9405584643187,-1076.2245614291608
2025-01-24,-7308.869889741602,-5667.216336586594,5568.934972868204,3270.347497121027,6721.579985647401,2056.8549516902303,564.5987354365636,830.8248596895929,4339.614455630911,1508.6172834823283,982.3063526090465,134.73608079852124
2025-01-27,-35615.66285457053,-29546.858975209147,0.0,-9163.820900666875,17610.527330424695,6467.663442478665,376.0279733062327,1437.0365385474356,-7321.519578716213,-4876.402524499323,-4240.616381902038,-4615.480593001119
2025-01-28,21389.10123927019,14671.609802356239,-1263.0691040779525,3662.182197431193,-1020.5261625509706,107.54604211721191,-188.05653298617253,-220.806922350347,6033.416076661216,1851.5224685720223,2372.628883534457,273.4908578965542
2025-01-29,-11232.49506784373,-1879.7048953148756,-126.234897545305,117.70431039720258,-3064.6439059413615,-1182.603651452531,-313.2903625641674,-441.9065943704357,-2693.462128992983,3990.7204841613693,-2757.9646311742113,546.1810840668086
2025-01-30,13381.561569577143,4253.325246487901,10935.89788041982,8401.534816932095,5613.693555606286,2149.0471439899875,939.7495854555148,2095.4058309897246,10522.379377871179,7616.763028964808,-77.15239479030369,272.7181018395622
2025-01-31,-13339.891254613669,-1454.1424815457099,-9420.434502636346,-5702.366693460173,-9880.29537113884,-1611.460443241317,-1002.5247661023401,-1708.806880001668,1382.1140204077806,-2201.642795714402,693.3219985176378,-545.7112678632155
2025-02-03,-16881.245280729763,-8035.209423030506,-11805.98672427705,-3641.4872429937423,12163.34988025581,711.6325915446175,-630.5272391019558,781.8987450115416,3726.1550586562985,1678.911481104097,-513.3394834168141,2312.414891667823
2025-02-04,16715.07433161001,12200.433247485758,11553.65205376042,8880.812336266736,4587.001911134048,2475.730747384126,1574.700054074437,1769.6092878592963,6860.166240231277,5700.63008010167,-798.2951561440422,811.9344719712956
2025-02-05,10116.013162614036,4527.7314691783595,9672.769173152996,-1275.6479710313677,24562.7295800292,5788.244016195663,1318.8537733404046,2807.701093741118,4333.239849700882,1331.7529343936942,-3698.0371588705157,-1897.8986994089912
2025-02-06,8673.969218782751,5206.220255765895,4739.4348115097855,2085.7573416375435,-667.2408447909216,-1176.2230230208768,-753.1528920036809,-439.3965186344201,-1857.6421061642386,306.47487287247736,-1689.331458667525,135.95735303495226
2025-02-07,-22989.33461265131,-12693.664466042195,-9501.43887329005,-462.7653666270435,-9714.272870481687,-3322.9705451249265,-1572.9166394472475,-1926.8678568898774,1247.7991010864232,-3595.302147433307,1083.8799080156323,135.89576627170123
2025-02-10,16920.33370545068,12032.486246542874,6760.294022142653,5982.618821194439,-4543.638284862713,-214.62581020670297,1007.2157581106101,0.0,11757.470761754594,1751.680113839443,4019.451200672683,4316.635394610717
2025-02-11,1900.6074109232943,-2383.588605456578,4729.8977166203795,-1948.0163024825601,-9637.577579894018,-2580.7512861246496,-188.69198289249636,-2155.7342586918567,-2560.799912909599,-2061.871624747548,2235.5089235438327,2268.1920356207156
2025-02-12,-8066.2203374320825,586.954565321692,3718.3702835644453,2747.8979350784,-20494.635736473814,-6914.424174474305,-1070.6190593685728,-1609.118306622208,732.624950900379,3496.784378711834,-5045.864357240299,-3341.5551912824176
2025-02-13,26255.05510795814,14283.265865419698,12051.23861226968,3186.8800515039793,24729.252139762215,7452.720189445232,2264.3466097439605,4095.798379592545,6870.157581105626,1224.480612601988,183.35328438619408,1474.8929002450745
2025-02-14,-123.13731956456552,4189.778860845343,1465.766427843992,3842.722781974481,7929.1153863102045,4188.019610355884,564.5138566135065,1540.8805221239966,-10488.426848584595,-1531.393036716899,-1497.9367000285222,133.7151243254354
2025-02-18,7329.172821286133,2264.5087724307505,7175.360153804249,3142.528061237371,-17771.975176472984,-5372.480597450432,-438.94223592639526,-2147.571519146748,11497.688401134545,6079.239311547493,2984.7376796241215,4379.623018652945
2025-02-19,5880.689476274922,278.0499403344975,-10353.810516086081,-783.8041918293778,1871.4700702577784,1614.802923846629,376.2671774768598,110.23517648664155,387.7600468058376,-1004.6933297081032,1269.3465997259707,2362.2407656358696
2025-02-20,-10422.605031060488,-4253.544092282375,4642.071463069713,4573.373607304953,5601.674893901916,2041.491235173108,313.34844145842624,937.1664528266971,361.6894081054534,1405.638078190264,798.9320328694708,391.88755187279406
2025-02-21,-43130.11366125648,-20973.14474850361,-6235.093144418493,-1445.5021722083864,18018.459303361535,5886.654003068733,-940.635063900507,165.15514543649593,-646.0783738485542,-3627.8635399118198,-6296.656560465642,-4206.9188126147465
2025-02-24,-11402.420389460347,-11874.424526677076,-613.4441395964033,-7743.418804389365,4345.9879403226305,2131.8990243330527,627.2866224421183,495.27318525401535,3790.4168098932814,-1524.6478702911968,1638.927352280246,-1060.9994690191459
2025-02-25,-12463.91069358638,-12679.321481805166,9039.864058329942,339.1758065524228,25650.038619069008,7848.928590165555,1252.4235828936073,3125.2100799989043,-9293.25077868299,-6281.340899174175,-4903.653993122465,-3340.0406114161765
2025-02-26,1261.8191308382206,2412.7116177792464,1336.7947290482703,4948.266434224422,8834.072985047946,2743.2582343205913,687.4775034145457,1636.9504631129967,1067.618794266772,1142.4691959978222,-756.8566604444909,-2563.5615985000554
2025-02-27,-40226.9963903539,-28164.141217561235,-11358.778096837375,-9831.88058273972,-10640.056699102286,-1159.651882381085,-937.7320200568905,-1691.7031627303934,-10750.09635466953,-5650.682376651153,3835.698149219815,406.2419182296371
2025-02-28,38712.73699034269,15668.107905678953,2086.0092132314016,-6895.143849212879,18286.816620766633,5470.2813103690105,1374.6465161740944,3051.938939441915,-4399.872886967973,-952.2154427842582,-159.4619581983698,-2309.2736033037813
2025-03-03,-44187.90982291224,-22125.538395520776,10971.72031130993,-4416.487847511742,6984.053268714935,3623.1678512048757,-1041.861277283169,-1059.7418549937381,9165.999343154115,4626.806095253813,-5116.750092273768,-1915.180557014661
2025-03-04,-29768.49980137469,-3022.3436294283533,-242.61283795793227,4185.020649297087,-18587.019293562233,-3149.9088089947168,-62.72210648866034,-765.9862703518997,6062.020580237267,2597.418822934359,-27.285375252919593,959.1185744812856
2025-03-05,26725.884293464715,12951.85034750643,23609.576551078364,14715.336538407419,-12024.713118913784,-5589.315870626268,251.2021371859279,-164.29269736005458,1455.403718564632,7861.608125366319,-5223.815080907016,-821.9176194017035
2025-03-06,-44776.35838387875,-27894.904119441748,-10357.906496360918,-3157.3674366354085,-4969.25021422889,-528.9277313993189,-1887.4876552862138,-2966.67192664938,-3565.9124494918,-807.2650922697285,-813.7532793179737,-1512.7270416976655
2025-03-07,13973.035495453585,7326.692576145631,10357.906496360947,2482.4494247063394,-4819.67918713612,-1270.3317256732078,818.8379504854713,1375.6303684309473,365.2737531860756,-1012.1505583818036,2681.227497096916,2608.1355189959436
2025-03-10,-67491.49823241624,-39527.39206705685,-23852.056557250242,-12076.24184384249,15566.477134995754,6967.7806914960165,-1891.4300158603937,-659.8535411055735,-6156.146936142047,-4906.407853274941,-3357.1832720537245,-1919.584113037878
2025-03-11,-20869.814019383462,-2393.2580312734704,-3402.158575227175,4134.211740565202,-10746.797947859608,-3583.4990713213188,-1772.1709191806312,-991.4383940230575,8161.514473460279,8634.40480982662,1573.6980813987034,1646.0932551412923
2025-03-12,13231.585791566877,11217.612953543194,7155.344308968112,2737.197622035423,-8987.101244718044,-2960.7148903832135,570.3320810088629,-110.27130104446094,3036.1613223204918,2592.2418097015843,3743.627091662002,0.0
2025-03-13,-33550.446422365334,-18154.266515680578,-6668.790960527114,-2051.525601870678,13129.129760717773,4016.143037072176,-2793.9317366475634,-220.6155874763082,12320.242019987883,5118.238962504649,-3268.3188405462997,-1096.3823052784878
2025-03-14,51113.75566890215,23882.910404114176,18203.249963189784,9054.133484827666,-7963.552805513746,-3486.6826387296483,2287.0945412110846,496.3379392363486,279.7745073374749,-292.92780720388737,1834.609183167445,1643.0610812181976
2025-03-17,19204.08913867765,6462.7947983670765,11166.687381544789,8452.157749036225,7467.267730997991,846.2323289387415,1203.056263879264,1320.925576854769,3779.252704250391,975.297190190249,1186.2930469957735,2041.3255729099196
2025-03-18,-27168.205615677623,-17194.312645405298,-118.18938359416472,-2542.840889024433,1489.296496858446,1162.5388067869596,-886.1187972220442,-164.9697196228841,8123.054807614,389.2402326097839,-1380.0772572123674,-678.9175556448585
2025-03-19,27079.76951959144,13292.56730514842,2949.341911205033,1217.7473535153608,7751.616996934968,3058.841606425201,3283.168582811476,2741.9397503547143,2869.506079784071,-974.0305392531124,580.7902538513106,1897.014865966943
2025-03-20,-7239.431625413074,-3395.2805477520133,-8398.956372098337,-4665.635771132773,986.5781692909004,1473.148538409317,-692.783524733114,-985.4490281825013,-896.9842563773528,-2448.9931917482945,3585.4676955960526,539.8196497431261
2025-03-21,824.3909435055933,3291.3063511417417,-6196.326279008235,-2461.4284423943504,-8903.984890339201,-841.6778176157287,-756.6482322031757,-1481.601230124411,-5657.733623459508,-4758.852647828064,162.68318916539107,-1757.9169600652533
2025-03-24,44375.21548452295,21707.046583332292,-119.58807307427269,2238.090880643694,-15459.877367608193,-5805.071736978976,1449.4317569363648,-329.78709420522665,-3123.743548193789,-600.2140089730308,2932.7124024157197,1083.023790729177
2025-03-25,6002.492813294278,5690.351579622112,5484.048178023141,-1453.5840048970542,-166.8519830555179,1692.18206989584,-251.63635218408277,494.62145728274015,3073.4982530522516,6144.920974597107,-160.31412967079885,405.11806655934436
2025-03-26,-30025.1649154615,-18572.067390751843,-13043.933941784697,-3032.7049343956924,-9892.051851720673,-2327.4151330029003,-2019.1681622603508,-2864.9396829009775,-578.4257586982205,-490.9106305163599,1597.448542181036,-405.1180665593481
2025-03-27,-6648.211435034492,-5714.299812244529,2165.7512037284496,2472.4497401668905,-4379.998758766189,-847.7470264158484,-949.0734787194648,-1106.3412124391552,9321.669784972699,7664.10964235154,159.05948454414445,809.7163726238346
2025-03-28,-50859.8360806165,-26680.609685395415,-8933.999355173617,-9392.576243989392,20609.078142052655,8024.516563122227,-887.5274464779875,553.4315977417558,5169.3517601474905,-3080.897068097156,-1890.2149719602567,-944.8773902663389
2025-03-31,16726.13117954174,-42.63701014754066,-8892.123511594302,-800.2920956231642,14737.68757647614,2940.111386098461,570.6821434049966,1105.1186730825152,9982.734379062253,-96.7920213470699,6733.062436874115,4162.0635649563055
2025-04-01,7051.218589158539,8028.73502276162,1467.1034570230152,1599.260745907082,12942.003974804451,3507.4778085118987,1157.8439961118934,1605.217697357552,-1386.132747753381,-3505.4012905116156,-647.6269995960234,133.2992164408653
2025-04-02,15770.96076737741,7271.991199122698,2318.6251623328476,683.8410145137799,-983.7847224395239,-944.0032443371364,1015.6139760168332,-221.17730981210445,1434.6918632535485,1270.5775898153365,1705.2061286987653,1860.0488017114872
2025-04-03,-126341.33740125768,-55019.77060358993,-21188.290068367864,-10706.006502763537,6874.556722546101,10229.868005080818,-6253.217000247443,-2994.3830835436434,-4239.607543089881,-18815.8976180799,-14647.514190473561,-12301.776152429236
2025-04-04,-150816.40036125627,-64121.43143699197,-68263.88340866208,-28613.463005292473,16242.731451179641,2799.9235194153484,-7178.587976154151,-7339.445593710629,-16569.14331250139,-19410.014437404545,-12360.362389688253,-11104.555974956786
2025-04-07,-4456.800553933078,2410.3696864225626,-24422.704031808844,-18960.24320816333,-45930.56093061309,-11980.916851681315,-4317.649817988611,-8136.735920140087,-15203.990679992618,663.956007299664,-5795.759673123671,-4763.160232837007
2025-04-08,-39466.83055814296,-18172.614008768694,-3420.688647842994,-7088.651294954795,-28588.1532947473,-5043.7542397487005,-2304.970653026554,-3569.4564664561954,3800.3209315065537,0.0,-8166.934631791857,-6768.314286554224
2025-04-09,249656.95979148246,113356.08703525367,74333.0189624236,33508.926964041086,8802.973339737557,-3165.2085442574657,13222.74927592835,12721.103084344932,25426.444537311116,10000.927117168134,12959.012972248958,10671.025763656642
2025-04-10,-112020.11790435226,-43463.1638987878,-19919.516597963076,-8693.70733808279,-41933.22791362435,-6254.232904556461,-8231.26639576093,-9782.986134548895,16891.06502077012,2342.942900103118,-6802.768990102889,-3757.2905069373573
2025-04-11,44213.193305235734,18255.514772405335,24743.176916733715,15445.732854038373,8135.870830437739,-5651.835363231294,1500.7847330691484,1777.2248814598997,13234.759650406651,9501.401355993083,3460.3971441161207,4331.187715489547
2025-04-14,24137.27559680295,6755.282107980926,10706.119541157746,4530.311802858389,10664.937414217324,7988.406200841845,2469.693351282251,5181.498189657552,-4005.6228034574665,1946.3817057036072,600.9757331785893,143.29586403939246
2025-04-15,-7012.134377629312,1114.1699661010111,8979.828612805684,-474.9636457286314,5304.03034429872,2966.058189276989,1359.6790856366808,1527.0108313940307,3653.1166133180595,306.18155899760205,-540.7853548288016,-717.1930725915241
2025-04-16,-56196.99606594814,-30617.51841204609,-3856.371084151747,-5854.9961328840645,8346.182524962063,4327.414515262732,-64.71819987836464,169.49721690190287,22415.799527573203,3549.1410834626495,3784.651743445581,3710.7865809156274
