Date,rolling_mdd
2021-05-11,-0.062220429182015057
2021-05-12,-0.06222042918201498
2021-05-13,-0.062220429182015057
2021-05-14,-0.062220429182014834
2021-05-17,-0.06222042918201493
2021-05-18,-0.062220429182015126
2021-05-19,-0.06222042918201502
2021-05-20,-0.0622204291820151
2021-05-21,-0.06222042918201495
2021-05-24,-0.06222042918201492
2021-05-25,-0.06222042918201497
2021-05-26,-0.06222042918201481
2021-05-27,-0.06222042918201505
2021-05-28,-0.062220429182015015
2021-06-01,-0.062220429182014876
2021-06-02,-0.062220429182014925
2021-06-03,-0.06222042918201494
2021-06-04,-0.06222042918201512
2021-06-07,-0.06222042918201512
2021-06-08,-0.06222042918201484
2021-06-09,-0.06222042918201497
2021-06-10,-0.06222042918201487
2021-06-11,-0.06222042918201506
2021-06-14,-0.062220429182015
2021-06-15,-0.062220429182014966
2021-06-16,-0.06222042918201484
2021-06-17,-0.062220429182014876
2021-06-18,-0.06222042918201496
2021-06-21,-0.062220429182014966
2021-06-22,-0.062220429182014945
2021-06-23,-0.06222042918201489
2021-06-24,-0.06222042918201505
2021-06-25,-0.06222042918201483
2021-06-28,-0.06222042918201506
2021-06-29,-0.062220429182014876
2021-06-30,-0.062220429182015015
2021-07-01,-0.062220429182015015
2021-07-02,-0.062220429182014945
2021-07-06,-0.062220429182014786
2021-07-07,-0.062220429182014876
2021-07-08,-0.062220429182015
2021-07-09,-0.06222042918201491
2021-07-12,-0.06222042918201507
2021-07-13,-0.06222042918201481
2021-07-14,-0.06222042918201489
2021-07-15,-0.062220429182015057
2021-07-16,-0.062220429182014945
2021-07-19,-0.062220429182014765
2021-07-20,-0.062220429182015015
2021-07-21,-0.06222042918201497
2021-07-22,-0.06222042918201488
2021-07-23,-0.06222042918201496
2021-07-26,-0.06222042918201507
2021-07-27,-0.062220429182014904
2021-07-28,-0.06222042918201494
2021-07-29,-0.062220429182015
2021-07-30,-0.062220429182014904
2021-08-02,-0.06222042918201491
2021-08-03,-0.06222042918201485
2021-08-04,-0.062220429182015
2021-08-05,-0.062220429182014855
2021-08-06,-0.06222042918201494
2021-08-09,-0.062220429182014945
2021-08-10,-0.06222042918201492
